"RT @prashantd2: The way you support Congress, looks like out of your CTC, fix comes from India today and variables (Incentives) comes from…",0
RT @BJP4Karnataka: Earlier today BJP National President Shri @AmitShah addressed the convention of Shakthi Kendra Pramukhs of 15 assembly c…,0
"RT @abhisar_sharma: Scathing! ""EC decision on AAP office of profit issue and longer window to BJP to campaign in Gujarat hurt ECs image"". S…",0
"RT @PiyushGoyal: Spoke about how Govt's transformational reforms, in the last 4 years, have unlocked the tremendous potential of citizens a…",0
RT @thewire_in: The appeal of the Congress in the state rests on the concrete and quantifiable policy outcomes of the anti-poverty and anti…,0
"RT @CMOMaharashtra: Nod for Rs 11,355 crore road projects in Maharashtra rural areas https://t.co/WmP9JsDvxg via @IndianExpress",0
"RT @Atheist_Krishna: And as usual this dumb IT head of Congress party made a meme of my tweet &amp; blamed BJP IT cell. 😂😂

Na pappu khud ka bh…",0
"RT @swamv39: ‘Rape is Rape, Don’t Politicise the Cases’: PM Modi in London

This is the advertisement in today's @DeccanHerald where BJP is…",0
RT @republic: #PurohitWasFixed | The work of Lt Col Purohit was to ensure the country was safe. And what the did government of the day do?…,0
"RT @Shehla_Rashid: Dear BJP leaders/trolls, don't you have children?",0
"RT @MisaBharti: A moral leadership deficit- At a time when a country is troubled, in anguish and even in a state of self-doubt, the primary…",0
"RT @IYC: Former BJP leader Maya Kodnani walks free.
Charges: Incited a mob to kill, 96 killed in the #NarodaPatiyaMassacre
Eyewitnesses saw…",0
@jitnandanwar @sanjivbhatt And irony is BJP wala’s are doing and supporting rapes. They killed Gauri Lankesh. And t… https://t.co/0yuRy58ZdR,0
"RT @TVMohandasPai: Ranting and raving and creating a false narrative. When all issues fail, blow up a local issue, blow up lies, defame Ind…",0
"RT @DrGPradhan: 10

Now comes the most prestigious election GUJARAT

In Gujarat key issues created by @incindia and @RahulGandhi were

Palt…",0
"RT @Prabhas64: SIT for probe of Sunanda Pushkar Tharoor death case,but no SIT for mysterious death of judge BM Loya probing encounters invo…",0
"RT @DrGPradhan: 10

Now comes the most prestigious election GUJARAT

In Gujarat key issues created by @incindia and @RahulGandhi were

Palt…",0
RT @e_salam: Actor Mallika Rajput has quit the BJP accusing the saffron party of protecting the rapists and communalising the safety of wom…,0
@kavmayor @pbhushan1 @DelhiPolice People like you with fake accounts are such a shame for the country. BJP and it's… https://t.co/uYEUTJbDCl,0
"RT @KirenRijiju: Just imagine, in place of Congress Party if BJP had criticised Supreme Court on the verdict in the judge BH Loya death cas…",0
"RT @iAnkurSingh: Smita Prakash along with whole NDTV panel agrees that Judiciary must be questioned.

Same debate they criticised BJP for q…",0
"RT @KirenRijiju: Just imagine, in place of Congress Party if BJP had criticised Supreme Court on the verdict in the judge BH Loya death cas…",0
